"id","studentId","stats","avatar","weekChlId","knowledgeLvl","weekChlScore","weekChlWinner"
27,854,"{""c"":[0.01,0.71,0.72,0.72,0.72,0.58,0.58,0.86],""m"":[[0,0,0,0],[17.88,156,12,167],[20.28,156,6,162],[15.53,113,3,116],[71.41,409,15,424],[19.2,123,3,126],[32.16,201,2,203,0.16],[0,0,0,0,0]],""t"":[[0,0,0,0],[3.04,1,18,3],[1.64,1,0,1],[0,0.25,3,1],[1.64,1,0,1],[0,0,8,1],[0,0,0,0],[0,0,0,0,0]],""g"":[[0,0,0,0],[5.72,22,2,24],[4.16,16,6,20],[2.86,11,0,11],[7.54,29,0,29],[12.48,48,0,48],[7.28,28,3,30,0.26],[0,0,0,0,0]],""d"":20500}","6414674b3",759,1,"0.00",0
28,842,"{""c"":[0.16,0.71,0.72,0.72,0.72,0.72,0.72,0.86],""m"":[[20.93,161,4,165],[12.4,100,16,110],[18.46,142,12,154],[14.25,105,9,114],[12.87,96,6,102],[10.72,67,5,72],[18.25,115,3,118,0.16],[0,0,0,0,0]],""t"":[[0,0,0,0],[0.82,0.75,9,3],[4.68,2,0,2],[2.52,1.75,1,2],[1.64,1,0,1],[3.04,1,0,1],[0,0,0,0],[0,0,0,0,0]],""g"":[[0,0,0,0],[10.14,39,3,42],[10.4,40,5,42],[4.16,16,2,18],[11.18,43,7,48],[16.12,62,6,68],[13.52,52,16,63,0.26],[0,0,0,0,0]],""d"":20500}","632645a10",759,1,"0.00",0
29,837,"{""c"":[1,1,1,1,1,1,1,1],""m"":[[139.7,860,15,874],[179.23,1208,24,1229],[203.31,1326,20,1345],[177.87,1234,31,1262],[348.87,2345,42,2385],[749.59,4929,60,4985],[994.77,6493,69,6561,0.16],[233.77,1507,12,1517,0.16]],""t"":[[58.36,26.5,14,30],[35.76,18.25,13,21],[30.25,24.75,26,31],[33.09,30.5,42,41],[16.06,8.5,2,9],[24.63,13.5,6,15],[18.9,12.25,22,18,1.68],[7.45,5,9,9,1.5]],""g"":[[33,98,5,103],[70.72,272,6,278],[41.34,159,10,169],[39.26,151,28,179],[56.68,218,28,245],[72.54,279,17,296],[20.8,80,47,110,0.26],[3.38,13,6,17,0.26]],""d"":20501}","o28069912",759,1,"23.00",1
30,852,"{""c"":[0.01,0.43,0.58,0.86,0.43,0.86,0.72,0.86],""m"":[[0,0,0,0],[6.24,48,5,53],[14.69,113,4,117],[14.27,122,8,129],[44.58,347,13,357],[56.16,403,22,425],[57.73,390,14,402,0.16],[0,0,0,0,0]],""t"":[[0,0,0,0],[6.07,2,0,2],[1.64,1,0,1],[0.66,0.75,1,1],[0,0,0,0],[6.56,4.5,8,6],[0,0,0,0],[0,0,0,0,0]],""g"":[[0,0,0,0],[2.86,11,2,13],[5.2,20,10,25],[3.9,15,0,15],[4.94,19,0,19],[15.6,60,3,62],[13.26,51,33,69,0.26],[0,0,0,0,0]],""d"":20500}","028485b93",759,1,"0.00",0
31,1941,"{""c"":[0,0,0,0.43,0.43,0.15,0.29,0.86],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,332,7,338],[21.36,267,7,274],[22.08,162,11,172],[15.9,159,6,165],[11.08,127,4,131]],""t"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20495}","w63060003",729,3,"0.00",0
33,2029,"{""c"":[0,0,0,0.14,0.29,0.44],""m"":[[218.7,729,17,746],[0,0,0,0],[0,0,0,0],[3.4,34,4,36],[12.86,141,9,149],[13.79,135,7,142]],""t"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[14.11,18.5,6,20]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20477}","p21081093",819,2,"0.00",0
35,3323,"{""c"":[0.28,0,0.86],""m"":[[4.97,37,4,40],[0,0,0,0],[0,0,0,0,0]],""t"":[[0,0,0,0],[0,0,0,0],[0,0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0,0]],""d"":20500}","w63060003",770,1,"0.00",0
36,1309,"{""c"":[0.71,0.14,0.28,0.57],""m"":[[2.66,19,1,20],[6.44,46,4,50],[0,5,0,5],[90.8,471,26,497]],""t"":[[0.87,3,8,5],[0,0,0,0],[1.44,4.5,33,12],[0.72,2.5,10,5]],""g"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0]],""d"":20491}","d64070021",810,4,"0.00",0
37,1187,"{""c"":[0,0,0.15,0.42,0.14,0.43,0.28,1],""m"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[6.58,47,3,50],[0,0,0,0],[6.24,59,4,63],[0.06,2,0,2],[2.05,5,0,5]],""t"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0.72,1.25,3,2],[0,0,0,0],[0,0,0,0],[1.8,2.75,1,3],[0,0,0,0]],""g"":[[0,0,0,0],[0,0,0,0],[0.24,6,17,13],[1.4,35,40,55],[1.48,37,7,44],[1.8,45,6,47],[6.4,160,21,178],[0,0,0,0]],""d"":20493}","c18010006",810,4,"0.00",0
39,1307,"{""c"":[0.57,0,0.14,0.15,0.71],""m"":[[2.73,13,10,20],[0,0,0,0],[2.1,15,0,15],[0,0,0,0],[0,42,1,43]],""t"":[[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,0,0],[0,0,62,5]],""g"":[[1.04,26,5,28],[0,0,0,0],[1.32,33,7,37],[1.44,36,3,37],[0,0,0,0]],""d"":20496}","e28064043",810,4,"0.00",0
